ガチャモード	排出タイプ	排出内容	確率
通常	武将	友里 星4	1.50%
通常	武将	友里 星3	13.50%
通常	武将	太后 星4	1.50%
通常	武将	太后 星3	13.50%
通常	武将	向 星4	1.50%
通常	武将	向 星3	13.50%
通常	武将	王建王 星4	1.50%
通常	武将	王建王 星3	13.50%
通常	武将	燕呈 星1	20.00%
通常	武将	姜燕 星1	20.00%
通常	武運	友里 x1	14.17%
通常	武運	友里 x2	1.67%
通常	武運	友里 x3	0.83%
通常	武運	太后 x1	14.17%
通常	武運	太后 x2	1.67%
通常	武運	太后 x3	0.83%
通常	武運	向 x1	14.17%
通常	武運	向 x2	1.67%
通常	武運	向 x3	0.83%
通常	武運	王建王 x1	14.17%
通常	武運	王建王 x2	1.67%
通常	武運	王建王 x3	0.83%
通常	武運	燕呈 x1	14.17%
通常	武運	燕呈 x2	1.67%
通常	武運	燕呈 x3	0.83%
通常	武運	姜燕 x1	14.17%
通常	武運	姜燕 x2	1.67%
通常	武運	姜燕 x3	0.83%
通常	アイテム	龍紋鏡	96.00%
通常	アイテム	玉虎	0.80%
通常	アイテム	玉亀	0.80%
通常	アイテム	玉牛	0.80%
通常	アイテム	玉象	0.80%
通常	アイテム	玉羊	0.80%
武将星3〜4確定	武将	友里 星4	2.50%
武将星3〜4確定	武将	友里 星3	22.50%
武将星3〜4確定	武将	太后 星4	2.50%
武将星3〜4確定	武将	太后 星3	22.50%
武将星3〜4確定	武将	向 星4	2.50%
武将星3〜4確定	武将	向 星3	22.50%
武将星3〜4確定	武将	王建王 星4	2.50%
武将星3〜4確定	武将	王建王 星3	22.50%
武将星3〜4確定	武運	友里 x1	14.17%
武将星3〜4確定	武運	友里 x2	1.67%
武将星3〜4確定	武運	友里 x3	0.83%
武将星3〜4確定	武運	太后 x1	14.17%
武将星3〜4確定	武運	太后 x2	1.67%
武将星3〜4確定	武運	太后 x3	0.83%
武将星3〜4確定	武運	向 x1	14.17%
武将星3〜4確定	武運	向 x2	1.67%
武将星3〜4確定	武運	向 x3	0.83%
武将星3〜4確定	武運	王建王 x1	14.17%
武将星3〜4確定	武運	王建王 x2	1.67%
武将星3〜4確定	武運	王建王 x3	0.83%
武将星3〜4確定	武運	燕呈 x1	14.17%
武将星3〜4確定	武運	燕呈 x2	1.67%
武将星3〜4確定	武運	燕呈 x3	0.83%
武将星3〜4確定	武運	姜燕 x1	14.17%
武将星3〜4確定	武運	姜燕 x2	1.67%
武将星3〜4確定	武運	姜燕 x3	0.83%
武将星3〜4確定	アイテム	龍紋鏡	96.00%
武将星3〜4確定	アイテム	玉虎	0.80%
武将星3〜4確定	アイテム	玉亀	0.80%
武将星3〜4確定	アイテム	玉牛	0.80%
武将星3〜4確定	アイテム	玉象	0.80%
武将星3〜4確定	アイテム	玉羊	0.80%
宝箱星3〜4箱確定	宝箱	星3箱	90.00%
宝箱星3〜4箱確定	宝箱	星4箱	10.00%
宝箱星3〜4箱確定	武運	友里 x1	14.17%
宝箱星3〜4箱確定	武運	友里 x2	1.67%
宝箱星3〜4箱確定	武運	友里 x3	0.83%
宝箱星3〜4箱確定	武運	太后 x1	14.17%
宝箱星3〜4箱確定	武運	太后 x2	1.67%
宝箱星3〜4箱確定	武運	太后 x3	0.83%
宝箱星3〜4箱確定	武運	向 x1	14.17%
宝箱星3〜4箱確定	武運	向 x2	1.67%
宝箱星3〜4箱確定	武運	向 x3	0.83%
宝箱星3〜4箱確定	武運	王建王 x1	14.17%
宝箱星3〜4箱確定	武運	王建王 x2	1.67%
宝箱星3〜4箱確定	武運	王建王 x3	0.83%
宝箱星3〜4箱確定	武運	燕呈 x1	14.17%
宝箱星3〜4箱確定	武運	燕呈 x2	1.67%
宝箱星3〜4箱確定	武運	燕呈 x3	0.83%
宝箱星3〜4箱確定	武運	姜燕 x1	14.17%
宝箱星3〜4箱確定	武運	姜燕 x2	1.67%
宝箱星3〜4箱確定	武運	姜燕 x3	0.83%
武将星4確定	武将	友里 星4	25.00%
武将星4確定	武将	太后 星4	25.00%
武将星4確定	武将	向 星4	25.00%
武将星4確定	武将	王建王 星4	25.00%
武将星4確定	武運	友里 x1	14.17%
武将星4確定	武運	友里 x2	1.67%
武将星4確定	武運	友里 x3	0.83%
武将星4確定	武運	太后 x1	14.17%
武将星4確定	武運	太后 x2	1.67%
武将星4確定	武運	太后 x3	0.83%
武将星4確定	武運	向 x1	14.17%
武将星4確定	武運	向 x2	1.67%
武将星4確定	武運	向 x3	0.83%
武将星4確定	武運	王建王 x1	14.17%
武将星4確定	武運	王建王 x2	1.67%
武将星4確定	武運	王建王 x3	0.83%
武将星4確定	武運	燕呈 x1	14.17%
武将星4確定	武運	燕呈 x2	1.67%
武将星4確定	武運	燕呈 x3	0.83%
武将星4確定	武運	姜燕 x1	14.17%
武将星4確定	武運	姜燕 x2	1.67%
武将星4確定	武運	姜燕 x3	0.83%
武将星4確定	アイテム	龍紋鏡	96.00%
武将星4確定	アイテム	玉虎	0.80%
武将星4確定	アイテム	玉亀	0.80%
武将星4確定	アイテム	玉牛	0.80%
武将星4確定	アイテム	玉象	0.80%
武将星4確定	アイテム	玉羊	0.80%
宝箱星4箱確定	宝箱	星4箱	100.00%
宝箱星4箱確定	武運	友里 x1	14.17%
