ガチャモード	排出タイプ	排出内容	確率
通常	武将	UR王齕 星4	1.20%
通常	武将	UR王齕 星3	10.80%
通常	武将	UR摎 星4	1.20%
通常	武将	UR摎 星3	10.80%
通常	武将	UR胡傷 星4	1.20%
通常	武将	UR胡傷 星3	10.80%
通常	武将	UR司馬錯 星4	1.20%
通常	武将	UR司馬錯 星3	10.80%
通常	武将	UR白起 星4	1.20%
通常	武将	UR白起 星3	10.80%
通常	武将	SR昭王 星1	40.00%
通常	武運	王齕 x1	12.75%
通常	武運	王齕 x2	1.50%
通常	武運	王齕 x3	0.75%
通常	武運	摎 x1	12.75%
通常	武運	摎 x2	1.50%
通常	武運	摎 x3	0.75%
通常	武運	胡傷 x1	12.75%
通常	武運	胡傷 x2	1.50%
通常	武運	胡傷 x3	0.75%
通常	武運	司馬錯 x1	12.75%
通常	武運	司馬錯 x2	1.50%
通常	武運	司馬錯 x3	0.75%
通常	武運	白起 x1	12.75%
通常	武運	白起 x2	1.50%
通常	武運	白起 x3	0.75%
通常	武運	昭王 x1	21.25%
通常	武運	昭王 x2	2.50%
通常	武運	昭王 x3	1.25%
通常	アイテム	龍紋鏡	96.00%
通常	アイテム	玉虎	0.80%
通常	アイテム	玉亀	0.80%
通常	アイテム	玉牛	0.80%
通常	アイテム	玉象	0.80%
通常	アイテム	玉羊	0.80%
武将星3〜4確定	武将	UR王齕 星4	2.00%
武将星3〜4確定	武将	UR王齕 星3	18.00%
武将星3〜4確定	武将	UR摎 星4	2.00%
武将星3〜4確定	武将	UR摎 星3	18.00%
武将星3〜4確定	武将	UR胡傷 星4	2.00%
武将星3〜4確定	武将	UR胡傷 星3	18.00%
武将星3〜4確定	武将	UR司馬錯 星4	2.00%
武将星3〜4確定	武将	UR司馬錯 星3	18.00%
武将星3〜4確定	武将	UR白起 星4	2.00%
武将星3〜4確定	武将	UR白起 星3	18.00%
武将星3〜4確定	武運	王齕 x1	12.75%
武将星3〜4確定	武運	王齕 x2	1.50%
武将星3〜4確定	武運	王齕 x3	0.75%
武将星3〜4確定	武運	摎 x1	12.75%
武将星3〜4確定	武運	摎 x2	1.50%
武将星3〜4確定	武運	摎 x3	0.75%
武将星3〜4確定	武運	胡傷 x1	12.75%
武将星3〜4確定	武運	胡傷 x2	1.50%
武将星3〜4確定	武運	胡傷 x3	0.75%
武将星3〜4確定	武運	司馬錯 x1	12.75%
